metric,webster,d3qn
avg_all_reported_waiting_time,13.023828435266084,11.120182757250696
avg_co2_mg_per_completed_vehicle,329227.372904344,327048.1949755402
avg_depart_delay,10.042219049561494,10.145536078271505
avg_fuel_mg_per_completed_vehicle,106311.66282480094,105605.5073338773
avg_nox_mg_per_completed_vehicle,157.2979033244956,155.7192213615985
avg_queue_length,1.1641493055555556,1.0427430555555557
avg_stop_count,0.6755047929838874,0.7095393395841826
avg_time_loss,29.952712624923514,28.030509580105992
avg_travel_time,102.60901488884356,100.67977986139421
avg_waiting_time,13.092596369569652,11.228088055442315
completed_co2_mg,1614201809.3499987,1604498444.5500004
completed_fuel_mg,521246082.82999897,518100618.98000205
completed_nox_mg,771231.6200000019,763958.5000000022
jain_fairness,0.9994144025568992,0.9994559899094643
lane_wait_std,0.3340874242638626,0.2830318578500432
p95_waiting_time,37.0,32.0
reported_trips,5036,5034
throughput,4903,4906
throughput_per_hour,2451.5,2453.0
total_co2_mg,1637188865.8599985,1626360759.7500005
total_fuel_mg,528670651.9599991,525161192.5600023
total_nox_mg,781984.1100000017,773983.5600000017
unfinished_trips,133,128
