episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
1,450,7200,-10169.956095,0.987097,0.00000000,0,450
2,450,7200,-6742.653973,0.974360,0.00000000,0,900
3,450,7200,-6346.297827,0.961787,0.00000000,0,1350
4,450,7200,-6404.716191,0.949377,0.00000000,0,1800
5,450,7200,-8958.977657,0.937127,9.60258645,251,2250
6,450,7200,-6312.274841,0.925035,5.08066216,450,2700
7,450,7200,-6939.449019,0.913099,3.62296093,450,3150
8,450,7200,-6897.651262,0.901317,2.99049993,450,3600
9,450,7200,-6015.056819,0.889687,2.74868775,450,4050
10,450,7200,-4838.527567,0.878207,2.69883711,450,4500
11,450,7200,-5065.178442,0.866876,3.75029717,450,4950
12,450,7200,-4413.849459,0.855690,3.26510914,450,5400
13,450,7200,-5483.125652,0.844649,3.11824295,450,5850
14,450,7200,-4790.487227,0.833750,2.95263922,450,6300
15,450,7200,-4237.390680,0.822992,2.82637507,450,6750
16,450,7200,-5090.215619,0.812373,2.70056148,450,7200
17,450,7200,-4144.271260,0.801890,2.58698162,450,7650
18,450,7200,-4517.288416,0.791543,2.56319597,450,8100
19,450,7200,-3971.340605,0.781330,2.53035095,450,8550
20,450,7200,-5344.582705,0.771248,2.44596064,450,9000
21,450,7200,-4347.922670,0.761297,2.24849363,450,9450
22,450,7200,-4800.878134,0.751473,2.16438437,450,9900
23,450,7200,-4480.321839,0.741777,2.16911691,450,10350
24,450,7200,-3274.044006,0.732206,2.10740135,450,10800
25,450,7200,-3640.297748,0.722758,2.04124581,450,11250
26,450,7200,-4604.900298,0.713432,2.03521537,450,11700
27,450,7200,-4174.786140,0.704226,2.06497883,450,12150
28,450,7200,-4416.586505,0.695139,2.01973613,450,12600
29,450,7200,-5694.672721,0.686170,1.98622950,450,13050
30,450,7200,-4069.417377,0.677316,1.89435705,450,13500
31,450,7200,-4539.329035,0.668576,1.87660954,450,13950
32,450,7200,-4488.314115,0.659949,1.81833127,450,14400
33,450,7200,-3940.911494,0.651434,1.80159386,450,14850
34,450,7200,-3149.778368,0.643028,1.76558969,450,15300
35,450,7200,-2999.208673,0.634731,1.76599668,450,15750
36,450,7200,-3987.979581,0.626541,1.67628995,450,16200
37,450,7200,-3201.130666,0.618457,1.73923042,450,16650
38,450,7200,-3428.474029,0.610476,1.72818782,450,17100
39,450,7200,-4248.491723,0.602599,1.63765986,450,17550
40,450,7200,-3174.098510,0.594824,1.63288725,450,18000
